Time,Speed,TargetSpeed,VirtualTargetSpeed,StepIndex,Torque,Slope,State
19.75,14.6469,15,15.9752,8,60.0422,5,0
19.8,14.6525,15,15.9752,8,59.7749,5,0
19.85,14.6579,15,15.9752,8,59.5214,5,0
19.9,14.663,15,15.9752,8,59.2809,5,0
19.95,14.6678,15,15.9752,8,59.0528,5,0
20,14.6723,15,15.9752,8,58.8365,5,0
20.05,14.6766,15,15.9752,8,58.6313,5,0
20.1,14.6808,15,15.9752,8,58.4366,5,0
20.15,14.6846,15,15.9752,8,58.252,5,0
20.2,14.6883,15,15.9752,8,58.0768,5,0
20.25,14.6918,15,15.9752,8,57.9107,5,0
20.3,14.6952,15,15.9752,8,57.7532,5,0
20.35,14.6983,15,15.9752,8,57.6037,5,0
20.4,14.7013,15,15.9752,8,57.4619,5,0
20.45,14.7041,15,15.9752,8,57.3275,5,0
20.5,14.7068,15,15.9752,8,57.1999,5,0
20.55,14.7094,15,15.9752,8,57.0789,5,0
20.6,14.7118,15,15.9752,8,56.9642,5,0
20.65,14.7141,15,15.9752,8,56.8553,5,0
20.7,14.7163,15,15.9752,8,56.7521,5,0
20.75,14.7183,15,15.9752,8,56.6541,5,0
20.8,14.7203,15,15.9752,8,56.5612,5,0
20.85,14.7221,15,15.9752,8,56.4731,5,0
20.9,14.7239,15,15.9752,8,56.3895,5,0
20.95,14.7256,15,15.9752,8,56.3103,5,0
21,14.7272,15,15.9752,8,56.2351,5,0
21.05,14.7287,15,15.9752,8,56.1637,5,0
21.1,14.7301,15,15.9752,8,56.0961,5,0
21.15,14.7314,15,15.9752,8,56.0319,5,0
21.2,14.7327,15,15.9752,8,55.9711,5,0
21.25,14.7339,15,15.9752,8,55.9133,5,0
21.3,14.7351,15,15.9752,8,55.8586,5,0
21.35,14.7362,15,15.9752,8,55.8066,5,0
21.4,14.7418,15,16.0676,9,59.9124,5,0
21.45,14.7472,15,16.0676,9,59.6579,5,0
21.5,14.7523,15,16.0676,9,59.4165,5,0
21.55,14.7571,15,16.0676,9,59.1875,5,0
21.6,14.7617,15,16.0676,9,58.9704,5,0
21.65,14.766,15,16.0676,9,58.7644,5,0
21.7,14.7702,15,16.0676,9,58.569,5,0
21.75,14.7741,15,16.0676,9,58.3836,5,0
21.8,14.7778,15,16.0676,9,58.2079,5,0
21.85,14.7813,15,16.0676,9,58.0411,5,0
21.9,14.7846,15,16.0676,9,57.8829,5,0
21.95,14.7878,15,16.0676,9,57.7329,5,0
22,14.7908,15,16.0676,9,57.5906,5,0
22.05,14.7936,15,16.0676,9,57.4557,5,0
22.1,14.7963,15,16.0676,9,57.3276,5,0
22.15,14.7989,15,16.0676,9,57.2062,5,0
22.2,14.8013,15,16.0676,9,57.091,5,0
22.25,14.8036,15,16.0676,9,56.9818,5,0
22.3,14.8058,15,16.0676,9,56.8781,5,0
22.35,14.8079,15,16.0676,9,56.7799,5,0
22.4,14.8098,15,16.0676,9,56.6866,5,0
22.45,14.8117,15,16.0676,9,56.5982,5,0
22.5,14.8135,15,16.0676,9,56.5143,5,0
22.55,14.8151,15,16.0676,9,56.4347,5,0
22.6,14.8167,15,16.0676,9,56.3593,5,0
22.65,14.8182,15,16.0676,9,56.2877,5,0
22.7,14.8197,15,16.0676,9,56.2198,5,0
22.75,14.821,15,16.0676,9,56.1554,5,0
22.8,14.8223,15,16.0676,9,56.0943,5,0
22.85,14.8235,15,16.0676,9,56.0364,5,0
22.9,14.8247,15,16.0676,9,55.9814,5,0
22.95,14.8258,15,16.0676,9,55.9293,5,0
23,14.8268,15,16.0676,9,55.8799,5,0
23.05,14.8278,15,16.0676,9,55.833,5,0
23.1,14.8288,15,16.0676,9,55.7885,5,0
23.15,14.8297,15,16.0676,9,55.7463,5,0
23.2,14.8305,15,16.0676,9,55.7063,5,0
23.25,14.8313,15,16.0676,9,55.6683,5,0
23.3,14.8321,15,16.0676,9,55.6323,5,0
23.35,14.8328,15,16.0676,9,55.5981,5,0
23.4,14.8364,15,16.1261,10,58.1994,5,0
23.45,14.8398,15,16.1261,10,58.037,5,0
23.5,14.8431,15,16.1261,10,57.883,5,0
